Attribute	Frequency
food	6194
service	4079
place	2775
menu	2730
time	2326
burger	2117
restaurant	1922
chicken	1852
salad	1745
cheese	1708
sauce	1703
drinks	1657
bar	1511
chocolate	1471
dish	1397
dishes	1276
staff	1236
fries	1232
bread	1215
experience	1210
pork	1203
side	1136
flavor	1113
didn	1096
night	1081
dinner	1047
wine	1029
server	1021
drink	1010
order	1007
meal	925
steak	903
cocktails	901
dessert	877
brunch	876
wasn	854
beer	851
rib	837
wait	834
egg	788
cream	786
cocktail	744
atmosphere	742
portion	731
hot	730
butter	728
meat	726
ambiance	717
sandwich	713
ice	702
bacon	698
potato	694
bit	680
rice	671
crispy	670
perfect	650
decor	640
taste	640
flavors	635
get	624
area	619
options	618
selection	600
lamb	598
day	593
tables	591
spicy	586
list	581
plate	579
beef	579
price	579
cake	578
people	577
plates	577
style	575
spot	568
try	565
space	561
chef	558
table	554
sprouts	553
corn	552
pasta	551
curds	551
waiter	547
dining	546
don	545
portions	540
toast	520
breakfast	506
room	498
times	494
restaurants	487
quality	483
items	479
prices	475
sweet	468
chips	468
pizza	468
group	459
duck	454
course	453
nothing	452
house	451
date	445
hour	441
eggs	435
texture	421
isn	416
coffee	411
music	411
week	410
inside	409
medium	408
size	404
chicago	403
goat	403
great	401
lunch	400
fun	395
onion	393
crab	392
burgers	392
sausage	388
ribs	388
excellent	387
friend	383
brussel	382
soup	381
waitress	380
something	380
salmon	379
appetizer	377
patio	375
beans	372
visit	371
pig	368
fan	366
bone	366
tomato	362
warm	361
tasty	359
roll	356
party	355
ingredients	354
feel	353
tuna	352
places	350
mac	346
marrow	345
shrimp	341
nice	339
potatoes	337
vibe	333
hash	333
location	329
cauliflower	328
door	328
pie	325
ambience	323
truffle	319
lemon	318
apple	314
scallops	314
bloody	313
think	312
creamy	310
brussels	309
entree	309
bartender	305
gnocchi	305
street	303
friends	301
couple	301
juicy	298
mussels	296
salty	296
half	295
french	295
savory	294
awesome	285
lobster	282
star	282
avocado	281
love	280
wings	280
tender	273
servers	273
cool	271
reviews	271
entrees	270
burrata	268
summer	268
bun	266
doesn	265
mary	264
outdoor	260
want	259
naan	259
come	258
glass	257
evening	253
family	250
dumplings	249
presentation	248
addition	248
good	248
manager	245
option	244
white	243
eat	243
octopus	243
reservation	243
chili	241
caramel	240
kale	239
point	239
dip	239
ravioli	239
desserts	238
salt	238
choice	237
right	235
mushrooms	234
water	234
person	232
mushroom	232
hostess	231
broccoli	230
type	230
cheval	228
crust	227
city	226
appetizers	224
homemade	224
oil	222
chop	222
end	222
bite	221
home	221
pieces	221
kitchen	221
seating	221
american	219
oysters	217
crisp	216
bbq	216
pub	212
skirt	211
know	209
empanadas	209
veggie	208
squash	207
happy	204
job	203
fish	202
tartare	202
carrot	202
meatballs	199
kind	199
curry	199
stop	199
fine	198
wood	198
couldn	198
comfort	197
honey	197
combination	197
pancakes	197
shoulder	196
basket	196
aioli	195
pickles	194
patty	194
beers	194
peppers	192
face	192
minutes	192
host	191
minute	191
tip	190
lime	190
touch	188
mix	188
decent	186
pepper	185
rare	185
customer	184
tikka	184
item	182
thick	182
ricotta	182
go	182
cookie	181
notch	180
mind	180
lot	180
back	179
take	177
neighborhood	175
w	172
filipino	172
app	171
oh	171
park	171
salads	171
front	170
cornbread	170
yelp	169
sauces	169
eggplant	169
tacos	167
dark	166
variety	166
work	166
worth	166
au	164
spy	164
man	163
birthday	163
light	163
reservations	162
lettuce	161
sides	160
short	160
samosas	160
royale	159
look	159
cod	158
cheddar	158
craft	158
calamari	158
diner	158
paneer	158
walk	157
chorizo	156
milk	156
parking	156
turkey	156
recommendations	155
sea	154
spinach	153
choices	153
benedict	151
recommend	151
remember	150
cinnamon	150
shank	150
polenta	150
maple	150
seafood	150
indian	150
deal	149
surprise	148
sure	147
spring	146
off	146
meals	146
bourbon	146
onions	145
let	145
fancy	144
biscuit	144
check	143
girl	143
rabbit	143
broth	142
stuff	142
martini	142
name	141
tea	139
make	139
pretzel	139
pricey	139
noodles	139
uni	139
brown	138
non	138
wall	138
rolls	137
foie	137
twist	137
pot	137
kinda	137
panna	137
business	136
b	136
risotto	136
whiskey	135
bean	135
care	133
balance	133
specials	133
concept	133
veggies	132
others	132
platter	132
juice	131
weekend	131
bowl	131
seat	131
vinaigrette	131
crunch	131
upscale	131
beets	131
bartenders	130
buttery	130
gobi	130
outside	129
chewy	129
mango	128
piece	128
booth	127
gras	127
crowd	127
review	127
black	127
courses	127
lighting	126
spice	126
farm	126
fruit	126
lots	126
manchurian	126
trip	125
tiny	125
jazz	125
kick	124
st	124
cotta	124
rings	123
brioche	123
cold	123
head	122
had	122
unique	122
kimchi	121
cheesy	121
line	121
hand	121
husband	121
someone	120
cucumber	120
expectations	120
west	119
ada	119
main	119
mint	118
pumpkin	118
town	118
orders	118
secret	118
gravy	118
gem	117
cheeseburger	117
note	117
glasses	116
m	116
yes	116
ginger	116
bites	116
vanilla	116
coconut	115
ok	115
vegan	115
winter	114
filet	114
combo	113
grits	113
need	113
fluffy	113
yummy	113
fusion	113
y	111
beet	111
tasting	110
floor	110
prime	109
strawberry	108
spots	108
conversation	107
la	107
toppings	106
find	106
mousse	106
purple	106
chip	106
crunchy	106
lounge	105
game	105
sour	105
mustard	104
vegetables	104
syrup	104
bruschetta	104
rooftop	104
school	103
better	103
bass	102
value	102
blueberry	102
jam	102
buttermilk	102
tangy	102
wow	101
eye	101
biscuits	101
cup	101
skillet	101
soft	101
dog	100
miss	100
wicker	100
caesar	100
d	100
parmesan	100
oyster	100
tocino	100
sweetness	99
cut	99
shell	99
skin	98
add	98
ask	98
menus	98
start	98
entrance	98
omelette	98
sandwiches	98
yolk	98
coast	97
salsa	97
dipping	97
baby	97
umami	97
finish	96
playing	96
michelin	96
paratha	96
kati	96
please	95
slices	95
see	95
enjoy	94
busy	94
parties	94
cozy	93
cuisine	93
chops	93
kids	93
event	93
waffle	93
theme	92
done	92
bland	92
butternut	92
cuban	92
weather	92
textures	91
world	91
hours	91
vodka	90
draft	90
number	90
vegetarian	90
guacamole	90
ahi	90
desert	89
thai	89
bill	89
went	89
ketchup	89
zucchini	88
share	88
credit	88
boy	88
guac	88
seats	88
hip	88
jalapeo	88
oxtail	88
tapas	88
orange	87
ribeye	87
idea	87
set	87
starter	87
bottle	87
wild	87
fatty	87
serving	87
scene	87
roof	87
garden	87
trendy	86
looking	86
split	86
money	86
puree	86
okay	86
mott	86
pesto	85
tastes	85
perfection	85
attention	85
dressing	85
candy	85
slice	85
fare	85
mayo	85
iron	85
stars	85
cilantro	85
sangria	85
tart	84
waitstaff	84
fall	84
pappardelle	84
collar	84
gin	84
starters	84
booths	84
confit	84
green	84
peanut	84
chai	84
ceviche	84
specialty	83
version	83
selections	83
meats	83
dearborn	83
wines	82
presidio	82
year	82
patties	82
pineapple	82
agent	82
gemini	82
sushi	82
char	81
zoe	81
ham	81
round	81
waiters	81
g	81
loop	81
wrap	81
creme	80
fat	80
morning	80
expect	80
greens	80
mexican	80
hotel	80
rest	80
quinoa	80
multiple	80
piggy	80
alcohol	79
batter	79
empty	79
days	79
sunny	79
intimate	78
vinegar	78
maybe	78
slight	78
weeks	77
tequila	77
signature	77
scallop	77
balls	77
roast	77
fact	76
north	76
boyfriend	76
treat	76
banana	76
cotton	76
mini	75
blend	75
cookies	75
chunks	75
raspberry	75
bistro	75
board	75
flatbread	75
carrots	74
walls	74
top	74
card	74
say	74
u	74
mozzarella	74
garage	74
cheek	74
na	74
cherry	74
jowl	74
tagliatelle	74
stand	73
decadent	73
occasion	73
changes	73
mindy	73
omg	73
pre	73
environment	73
indoor	73
hipster	73
watermelon	73
preparation	72
apps	72
tartar	72
guests	72
mash	72
pea	72
lights	72
deep	71
loud	71
rich	71
moscow	71
offer	71
suggestions	71
bits	71
lit	71
cheesecake	71
yogurt	71
ears	71
vieja	71
sorry	70
looks	70
foodie	70
change	70
spread	70
clams	70
parts	70
favorite	70
hungry	70
hit	70
publican	70
design	69
issues	69
rating	69
waffles	69
chairs	69
cups	69
dill	69
basil	69
margarita	69
donut	69
bathroom	69
longanisa	69
doc	69
experiences	68
compliment	68
nights	68
burrito	68
hanger	68
occasions	68
plus	68
owner	68
lassi	68
buffalo	67
setting	67
stomach	67
breads	67
artichoke	67
chinese	67
band	67
customers	66
river	66
soggy	66
view	66
noodle	66
slaw	66
use	66
pictures	66
punch	65
anyone	65
show	65
months	65
cost	65
ragu	65
ropa	65
hearty	64
ordering	64
fernet	64
thanks	64
pass	64
foods	64
fudge	64
goodness	64
breast	64
corner	64
knots	64
grapefruit	63
marshmallow	63
management	63
vibes	63
sign	63
nuggets	63
today	63
sesame	63
glaze	63
mule	63
air	62
towards	62
shishito	62
leg	62
peas	62
component	62
middle	62
got	62
gluten	62
yum	62
strip	62
fixe	62
made	61
mouth	61
noise	61
chimichurri	61
range	61
sports	61
downside	61
pastry	61
establishment	61
chefs	61
moist	61
art	61
browns	61
strawberries	61
naha	61
wedge	60
o	60
bars	60
years	60
donuts	60
muffin	60
pickle	60
quick	60
pisco	59
heirloom	59
cheap	59
hamburger	59
heart	59
phone	59
asparagus	59
complaint	58
rye	58
leave	58
bottom	58
e	58
aren	58
patrons	58
taco	58
runny	58
homestead	58
dim	57
little	57
malt	57
sugar	57
thin	57
plan	57
counter	57
shooter	57
serve	57
citrus	57
sounds	56
venue	56
past	56
girls	56
however	56
soy	56
team	56
feta	56
j	56
almond	56
recommendation	56
root	56
turducken	56
sense	56
empanada	56
wedding	56
wagyu	56
rum	55
roe	55
crazy	55
uncle	55
dollar	55
be	55
otherwise	55
hype	55
photos	55
smoke	55
liver	55
etc	55
pistachio	55
exit	55
red	55
quite	55
olives	54
sage	54
peach	54
poutine	54
greek	54
clam	54
cabbage	54
porridge	54
tempura	54
herbs	53
picture	53
fry	53
winner	53
gooey	53
weren	53
filling	53
windows	53
tongue	53
tofu	53
island	53
udon	53
wheat	53
mahi	53
window	52
interior	52
herb	52
elements	52
pure	52
ball	52
pancake	52
airy	52
halibut	52
dress	52
roots	52
mission	51
boar	51
brownie	51
arugula	51
regret	51
life	51
problem	51
downtown	51
jalapeno	51
do	51
fritters	51
pop	51
miso	51
mention	50
dirty	50
post	50
cavatelli	50
cook	50
fashion	50
sundae	50
hands	50
away	50
kohlrabi	50
korean	50
eaters	50
california	50
sortallini	50
was	49
francisco	49
gold	49
pricing	49
ceiling	49
issue	49
lover	49
understand	49
succulent	49
temperature	49
vintage	49
chance	49
call	48
shouldn	48
system	48
visits	48
tad	48
matter	48
companion	48
blackberry	48
tag	48
plain	48
club	48
didnt	48
pan	48
request	48
clean	48
scotch	48
pick	48
pastas	48
pastrami	48
charcuterie	48
http	48
bisque	48
legs	48
aka	47
plenty	47
mimosa	47
must	47
tots	47
chocolates	47
online	47
meh	47
pao	47
paper	47
hidden	46
san	46
market	46
guys	46
grab	46
eyes	46
adult	46
ipa	46
seasoning	46
bottles	46
cranberry	46
contrast	46
pizzas	46
skip	46
together	46
dairy	46
class	46
spam	46
bakery	46
industry	46
biz	46
partner	45
sit	45
consistency	45
heat	45
favorites	45
toffee	45
ingredient	45
luck	45
theater	44
play	44
combinations	44
random	44
ground	44
linguine	44
smooth	44
pastries	44
season	44
ganache	44
tomatoes	44
gelato	44
manner	44
sister	44
chickpea	44
poke	44
veal	44
steaks	44
words	44
eater	44
agnolotti	44
www	44
shot	43
sort	43
pink	43
spending	43
popcorn	43
am	43
highlight	43
trout	43
none	43
ranch	43
alone	43
semi	43
loin	43
prosciutto	43
blood	43
wrightwood	43
tortilla	42
con	42
layer	42
meaty	42
store	42
lincoln	42
ta	42
tooth	42
latte	42
description	42
jack	42
afternoon	42
girlfriend	42
came	42
thank	42
esque	42
very	42
marmalade	42
yeah	42
michigan	42
poor	42
patient	42
beatrix	42
rl	42
sound	41
knife	41
bag	41
moment	41
complaints	41
safehouse	41
lighter	41
croissant	41
detail	40
overall	40
blueberries	40
process	40
eats	40
vinyl	40
heavy	40
points	40
bc	40
mom	40
hint	40
company	40
slow	40
minus	40
funnel	40
