Attribute	frequency
food	9029
chicken	5417
service	3624
naan	3035
indian	2793
place	2543
masala	2436
tikka	2129
rice	2092
restaurant	2089
time	2054
paneer	1937
lamb	1833
curry	1510
dishes	1475
sauce	1272
order	1250
spicy	1215
biryani	1100
staff	1070
butter	1067
dish	1037
restaurants	1018
menu	989
samosas	864
experience	817
flavor	769
portions	765
taste	714
quality	667
mango	644
lunch	642
meal	636
side	629
meat	616
options	608
tandoori	607
buffet	603
samosa	602
price	594
prices	566
places	550
owner	547
saag	539
spice	537
lassi	524
makhani	512
night	509
chutney	502
people	498
delivery	495
items	489
pakistani	489
karahi	483
server	471
times	470
don	468
day	463
wait	462
dosa	459
dinner	449
bit	446
customer	444
veggie	435
waiter	434
spices	433
bread	423
wrap	411
flavors	407
portion	403
cuisine	400
isn	392
devon	379
style	374
appetizer	371
salad	368
non	365
get	364
area	363
south	362
tables	359
vindaloo	355
basmati	350
fries	342
palak	338
spot	337
sauces	335
beef	332
chana	329
potato	328
doesn	326
paratha	326
nothing	324
korma	318
size	317
ambiance	315
gobi	315
puri	314
hot	313
aloo	312
chicago	306
coconut	300
bowl	294
malai	288
pieces	287
goat	287
atmosphere	284
entrees	283
tomato	283
hema	282
go	281
table	280
excellent	279
decor	276
soup	274
dal	272
onion	267
mutton	267
something	265
plate	264
ambience	263
reviews	263
veg	258
person	256
dining	252
chili	251
visit	247
perfect	246
shrimp	246
tasty	243
dessert	241
kofta	239
street	237
course	235
location	235
chai	232
option	228
appetizers	227
spinach	225
lot	225
variety	224
come	223
house	222
pakora	220
boti	219
yogurt	219
family	217
drinks	217
kabab	217
water	216
decent	215
roti	215
drink	214
home	212
quantity	212
beer	211
good	211
fast	209
vegetarian	207
tea	207
cauliflower	207
room	206
creamy	203
entree	203
eat	202
kabob	202
curries	201
cheese	199
biriyani	198
selection	197
man	196
customers	195
roll	195
fan	194
yelp	193
know	192
think	191
india	191
plain	191
bar	190
half	190
deal	189
pepper	189
minutes	189
tamarind	187
item	184
medium	184
hour	183
great	182
manchurian	181
friend	181
tender	178
want	178
warm	177
space	177
chef	175
nihari	175
friends	174
star	173
counter	173
tasting	172
point	172
manager	172
crispy	171
servers	170
music	170
chaat	170
cream	169
waitress	169
line	169
fusion	169
heat	168
onions	167
lentil	166
mutter	166
wine	165
list	164
ice	157
business	156
mint	156
recommend	155
date	154
type	152
cocktails	151
sweet	151
couple	151
raita	151
veggies	151
oil	150
inside	149
pani	148
n	148
kind	148
choice	147
week	146
parking	146
take	146
nice	145
sure	144
nan	144
ingredients	144
fry	142
version	142
cilantro	140
care	139
review	139
group	138
cost	138
ok	137
eggplant	137
meals	137
vegan	137
cheap	136
gulab	135
platter	135
plates	135
fish	132
peas	131
daal	131
love	131
wraps	131
grill	130
check	129
multiple	129
off	129
texture	128
quick	128
chunks	126
end	126
oh	125
awesome	125
potatoes	125
tandoor	125
sambar	125
value	124
combo	124
na	123
park	122
fine	121
mix	121
job	121
had	121
frontier	120
let	119
mind	119
choices	118
mild	117
card	117
owners	117
bhel	117
ginger	116
hours	116
addition	114
vegetables	114
neighborhood	114
bite	114
seekh	114
orders	113
stuff	112
bihari	112
foods	110
combination	110
piece	110
phone	110
city	109
see	109
jamun	108
find	108
gosht	107
anyone	106
feel	106
number	106
waiters	106
dumplings	106
byob	106
worth	105
downtown	105
name	105
desserts	105
walk	105
extra	105
brown	104
need	103
thali	101
bland	101
serving	100
savory	100
credit	100
kulcha	99
tastes	98
expect	98
chutneys	98
chipotle	98
problem	97
salt	96
main	96
idli	96
tava	96
yes	95
today	95
lentils	95
please	94
attention	94
w	93
work	93
murg	93
look	92
la	92
make	92
keema	92
cold	92
bones	92
gravy	92
latin	92
money	91
years	91
party	91
someone	90
management	90
bhaji	90
kitchen	90
serve	89
pakoras	89
cucumber	89
char	89
bhindi	88
seating	88
stop	88
door	88
okra	87
ask	87
vibe	86
north	86
fancy	86
rest	86
fare	86
tip	86
lady	86
tikki	86
vada	86
okay	85
carte	85
leftovers	85
weekend	84
pass	84
kati	84
floor	83
white	83
kebab	83
kheer	82
breads	82
world	82
right	82
bill	82
desi	82
store	82
matar	81
front	81
garden	81
hand	80
bharta	80
pricey	80
bbq	80
bowls	80
employees	80
yummy	79
milk	79
disappointment	79
issue	79
filling	79
pub	79
chance	78
recommendations	78
american	78
chapati	78
charge	77
madras	77
buttery	77
town	77
pick	76
others	76
toppings	76
rava	76
better	75
cocktail	75
remember	75
enjoy	75
chickpeas	75
chickpea	75
year	74
servings	74
sides	74
u	74
ave	74
trip	74
bombay	74
cajun	74
royale	74
coffee	74
evening	73
however	72
lots	72
guys	72
kale	72
glasses	71
favorite	71
concept	71
momo	71
crisp	71
channa	71
issues	71
rating	70
loop	70
container	70
saffron	69
kabobs	69
peppers	69
busy	68
presentation	68
types	67
idea	67
notch	67
sign	67
nepalese	67
meats	67
stars	67
call	66
rogan	66
josh	66
eating	66
host	66
minute	66
balance	66
grocery	66
smell	65
homemade	65
bone	65
seafood	65
basket	64
juicy	64
briyani	64
wife	64
indo	64
bathroom	64
cubes	63
naans	63
juice	63
sag	63
ordering	63
kick	63
levels	62
nepali	62
tiki	62
wall	62
offer	62
sit	62
back	61
reservation	61
maybe	61
surprise	61
snack	61
strip	61
burger	61
d	60
blend	60
murgh	60
eastern	60
steak	60
kama	60
husband	59
stew	59
assortment	59
booths	59
fact	59
reviewers	59
case	59
tangy	59
wings	59
fluffy	58
thanks	58
mattar	58
rangoli	58
color	58
finish	58
expectations	58
light	58
paper	58
cabbie	58
seasoning	57
bother	57
fun	57
base	57
set	57
makhni	57
close	57
made	56
kinda	56
pea	56
achar	56
establishment	56
chinese	56
pay	56
mysore	56
kulfi	55
fix	55
momos	55
clean	55
profile	55
swati	55
karhai	54
rude	54
etc	54
round	54
tell	54
egg	54
sampler	54
girl	53
specials	53
dine	53
boneless	53
pav	53
understand	53
app	53
punjabi	53
middle	53
cook	53
ghareeb	53
bollywood	53
joint	52
fresh	52
environment	52
stomach	52
online	52
spots	52
quantities	52
cake	52
balls	52
workers	52
kinds	52
kebabs	52
corner	51
thick	51
consistency	51
section	51
shahi	51
happy	51
tasteless	51
dosas	51
recommendation	50
afternoon	50
baingan	50
chilli	50
wheat	50
signature	50
gem	50
slow	50
sabri	50
artichoke	50
corn	49
either	49
cool	49
protein	49
loves	49
poori	49
chick	48
deep	48
y	48
lettuce	48
boy	48
st	48
tiny	48
panner	48
lobster	48
students	48
margarita	48
mushroom	47
crowd	47
cup	47
cooking	47
sorry	47
different	47
note	47
driver	47
morning	46
grab	46
came	46
culture	46
apart	46
shami	46
older	46
lincoln	46
khyber	46
sambhar	46
got	45
vegetarians	45
difference	45
miss	45
orange	45
add	45
dahi	45
dum	45
m	44
mall	44
average	44
perfection	44
done	44
proper	44
marsala	44
treat	44
hence	44
hasn	44
salty	44
beers	44
tax	43
none	43
share	43
months	43
cashew	42
eats	42
visits	42
experiences	42
suggestions	42
head	42
cabbage	42
bus	42
waitstaff	42
ground	42
bright	42
rajun	42
hyde	42
member	41
greasy	41
mom	41
mahi	41
use	41
almond	41
cardamom	41
bell	41
woman	41
playing	41
mention	41
attitude	41
beans	41
looks	41
face	40
buffets	40
fruit	40
carrots	40
touch	40
hostess	40
diners	40
bunch	40
glass	40
occasions	40
nawaz	40
female	40
chops	40
mantra	40
prix	40
pricing	39
yeah	39
flavorless	39
dipping	39
cumin	39
hungry	39
while	39
pak	39
chewy	39
craft	39
ghost	39
rolls	38
help	38
hole	38
conversation	38
outside	38
folks	38
soul	38
dude	38
situation	38
changes	38
york	38
hadn	38
bistro	38
hands	37
interior	37
members	37
twist	37
skip	37
cash	37
lassis	37
hair	37
stale	37
forget	37
chocolate	37
papadum	37
thai	37
palace	37
vermillion	37
papad	36
poor	36
me	36
notice	36
machine	36
venue	36
strange	36
bag	36
uru	36
tons	36
tad	35
trendy	35
thank	35
longer	35
do	35
process	35
grub	35
fire	35
raw	35
regret	35
brunch	35
lamp	35
breast	35
kids	35
snacks	35
plus	34
kheema	34
smells	34
alone	34
cleanliness	34
grubhub	34
freshness	34
unique	34
overall	34
crust	34
birthday	34
opinion	34
cinnamon	34
hubby	34
system	34
lights	34
com	34
par	34
otherwise	34
containers	34
damn	34
college	34
diner	34
preparation	34
pot	34
southern	34
bartender	34
be	34
shawarma	34
alu	34
kadai	34
river	33
sort	33
spread	33
shot	33
staple	33
eaters	33
spending	33
mistake	33
pre	33
cards	33
bathrooms	33
manner	33
chairs	33
spent	33
simple	33
cod	33
breakfast	33
thin	33
crepe	33
udupi	33
class	32
same	32
complaint	32
bomb	32
west	32
beats	32
comfort	32
bottle	32
tomatoes	32
bottom	32
team	32
wan	32
crunchy	32
lighting	32
mouth	32
gobhi	32
fritters	32
nom	32
less	32
alternative	32
paki	32
mediocre	32
mussels	32
cab	32
myself	32
woodlands	32
avenue	32
sub	32
karachi	32
fixe	32
beard	32
dosai	32
methi	31
women	31
starters	31
wise	31
empty	31
matter	31
walls	31
rich	31
discount	31
bits	31
range	31
baby	31
answer	31
reasons	31
joints	31
center	31
box	31
dirty	31
tapas	31
succulent	30
baigan	30
families	30
larger	30
weren	30
wicker	30
sense	30
am	30
cups	30
request	30
question	30
tonight	30
favorites	30
include	30
sizes	30
speed	30
pickle	30
moist	30
pistachio	30
bhuna	30
mustard	30
words	30
shame	30
block	30
left	30
tso	30
cottage	30
kababs	30
chole	30
sandwich	30
hearty	29
considering	29
sev	29
costs	29
product	29
array	29
himalayan	29
shake	29
show	29
crazy	29
red	29
buds	29
spring	29
pulav	29
patrons	29
mixture	29
slices	29
dollars	29
went	29
pakistan	29
shank	29
tandori	28
loud	28
say	28
away	28
rush	28
mins	28
change	28
mile	28
mess	28
smoke	28
past	28
spicey	28
nearby	28
restrooms	28
having	28
save	28
safe	28
problems	28
consistent	28
batura	28
requests	28
parties	28
min	28
near	28
awkward	28
navratan	28
coz	28
naansense	28
gets	28
lover	28
halal	28
station	28
questions	28
biryanis	28
haleem	28
news	28
superb	28
batches	28
ki	28
bhurji	27
fee	27
total	27
cities	27
offers	27
page	27
guests	27
delicacies	27
cafeteria	27
carry	27
anyway	27
month	27
cons	27
break	27
luck	27
zero	27
leaves	27
hub	27
standards	27
culinary	27
platters	27
life	27
school	27
specialty	27
napkins	27
apology	27
cut	27
selections	27
products	27
hit	26
leave	26
menus	26
yourself	26
tadka	26
bites	26
restrictions	26
chips	26
plenty	26
language	26
entre	26
aka	26
hotel	26
naanwich	26
tart	26
tends	26
adventure	26
train	26
strawberry	26
random	26
patio	26
lime	26
martini	26
health	26
gujarati	26
parathas	26
tiffin	26
upscale	25
eye	25
syrup	25
