Attribute	Frequency
sushi	9264
roll	4795
food	4475
service	4118
place	3700
tuna	3398
rolls	3349
ramen	3285
spicy	3261
time	2182
restaurant	1988
menu	1962
rice	1922
salmon	1819
sashimi	1689
quality	1606
tempura	1544
sauce	1478
maki	1466
beef	1345
tea	1321
soup	1289
pork	1227
flavor	1224
staff	1221
shrimp	1209
experience	1207
nigiri	1202
places	1134
order	1127
salad	1116
cream	1111
ice	1075
miso	1058
broth	1035
price	1009
wasn	981
bar	949
chef	944
crab	929
dishes	923
didn	902
bowl	884
taste	881
sake	828
noodles	828
fish	818
night	812
dinner	812
don	800
meal	800
portion	792
chicken	791
server	788
hour	775
japanese	745
prices	728
wait	726
side	717
meat	706
pieces	679
dish	666
appetizer	663
items	646
selection	638
flavors	635
people	631
bit	626
waitress	623
atmosphere	618
egg	612
lunch	609
isn	598
crispy	591
get	586
bbq	580
restaurants	576
wasabi	570
uni	566
options	563
spot	556
times	548
avocado	540
poke	536
chicago	529
decor	528
drinks	520
soy	516
portions	513
tables	501
presentation	485
style	478
appetizers	478
potato	475
ambiance	474
dragon	462
hamachi	449
space	443
toro	442
scallop	438
nothing	437
unagi	432
perfect	423
location	422
dessert	421
cucumber	418
date	412
shell	411
dining	405
area	405
california	403
steak	402
texture	396
great	395
inside	395
mochi	394
wine	394
sweet	393
half	392
size	392
tonkotsu	388
wagyu	383
friends	381
ingredients	380
happy	377
drink	371
course	358
tasty	354
omakase	352
spice	350
cake	347
plates	346
piece	341
mayo	337
fan	336
tartare	335
hot	335
variety	334
edamame	334
waiter	333
udon	332
white	332
excellent	329
warm	328
couple	326
tofu	325
something	324
street	322
deal	320
think	319
good	317
mushroom	315
chili	314
table	313
visit	313
bite	313
reviews	312
water	312
cheese	312
fire	312
truffle	311
choice	309
feel	309
end	304
city	302
byob	302
friend	300
signature	299
ginger	296
sprouts	296
katsu	295
oysters	293
plate	292
love	292
doesn	289
yellowtail	287
house	285
curry	284
teriyaki	284
decent	283
park	283
nice	282
box	282
customer	281
ayce	280
servers	278
raw	277
oil	276
sesame	273
dumplings	273
specialty	272
group	270
tonkatsu	270
beer	269
go	269
option	269
rib	268
octopus	265
maguro	264
crunch	262
want	262
lot	259
skewers	256
music	256
owner	251
seafood	250
room	243
lobster	243
hand	243
oyster	242
vibe	239
kimchi	238
party	237
fun	236
duck	236
person	234
scallops	234
green	233
notch	233
salty	231
eel	228
sauces	226
veggie	225
korean	225
robata	224
meats	224
come	223
crazy	222
line	222
neighborhood	222
cocktails	220
know	220
fusion	219
sea	219
stuff	219
shoyu	217
mushrooms	216
point	215
burrito	213
grill	210
gyoza	210
seaweed	208
eye	208
bowls	207
star	206
fatty	206
veggies	204
skin	201
platter	200
cold	199
chocolate	197
value	197
thai	197
week	195
non	193
ambience	192
birthday	190
yuzu	190
chefs	186
toppings	182
combo	182
combination	180
seating	180
door	180
minutes	179
list	178
cool	175
loop	175
spots	175
bento	175
kind	174
worth	174
bread	173
pepper	173
trendy	172
creamy	171
noodle	171
let	171
slices	170
reservation	169
years	166
delivery	166
corn	166
cozy	164
parking	164
premium	163
eat	162
mind	162
savory	161
tender	161
specials	161
front	160
dynamite	160
recommendations	159
lady	159
take	159
review	158
family	158
black	157
ok	156
cuts	156
vegetables	156
environment	156
kick	155
market	154
fancy	154
brussel	152
hostess	151
set	151
martini	151
peppers	149
yelp	149
business	148
look	148
tip	148
cocktail	147
right	147
creme	147
tasting	147
crunchy	146
tiny	145
entrees	145
fine	144
store	144
izakaya	143
mix	141
bottle	141
rainbow	141
work	140
type	140
fruit	139
mouth	138
soft	138
river	138
ratio	138
manager	138
recommend	137
beans	137
couldn	137
chirashi	137
onion	136
addition	136
orders	136
rooms	136
awesome	135
minute	135
fries	135
takoyaki	134
care	133
stop	133
strip	132
quail	131
tartar	131
choices	131
karaage	131
orange	131
kitchen	131
entree	130
tobiko	130
name	129
tiger	129
m	128
mango	128
volcano	128
whiskey	127
see	127
art	127
gold	127
brussels	127
ebi	126
tataki	126
yoshi	126
glass	125
evening	125
west	124
cuisine	124
fin	124
union	124
spider	124
godzilla	124
make	123
ocean	123
money	123
trip	123
plus	123
la	123
please	123
pot	122
skewer	121
yummy	121
paper	121
wings	121
butter	120
shooters	120
yaki	120
tongue	120
oh	120
age	119
upstairs	119
thick	119
